chr1	123524330	123524662
chr1	124160148	124162951
chr1	124168684	124169643
chr1	124186409	124187621
chr1	124203497	124204195
chr1	124204593	124206134
chr1	124217330	124217593
chr1	124217891	124220494
chr1	124858071	124860555
chr1	125917490	125918077
chr1	125920117	125920383
chr1	125920400	125920528
chr1	126256298	126257308
chr1	126258813	126259587
chr1	126602417	126605305
chr1	126608140	126610018
chr1	126617413	126620244
chr1	126930358	126931208
chr1	127224534	127224968
chr1	127242510	127242819
chr1	127416727	127433322
chr1	127433787	127450511
chr1	127450843	127473210
chr1	127473232	127479152
chr1	127479750	127479801
chr1	127481805	127482081
chr1	127482602	127487150
chr1	127490082	127494008
chr1	129669785	129671005
chr1	129673958	129677974
chr1	129713140	129714197
chr1	130335301	130335821
chr1	130356134	130358451
chr1	130359996	130361095
chr1	132766830	132769182
chr1	134402876	134403446
chr1	135482206	135484811
chr1	140501462	140501504
chr1	140501576	140504465
chr1	140963201	140965006
chr1	140981104	140981939
chr1	141643907	141644726
chr1	142070878	142072598
chr1	142135753	142138456
chr11	10592357	10595811
chr12	35237460	35240070
chr12	35444421	35446634
chr12	35501396	35503688
chr13	1966	3186
chr13	2072504	2073028
chr13	2074385	2075310
chr13	2075311	2075366
chr13	2075407	2077876
chr13	3453581	3455562
chr13	4726662	4728577
chr13	4734244	4739449
chr13	4739638	4739938
chr13	4740133	4740549
chr13	4740819	4744786
chr13	4756873	4761953
chr13	4761960	4761966
chr13	12166309	12169172
chr13	17479405	17481743
chr13	17494093	17494288
chr13	17495021	17497529
chr13	108651151	108653324
chr14	1269188	1273882
chr14	1275569	1276854
chr14	1278876	1281090
chr14	1288254	1290836
chr14	1302372	1304731
chr14	1307890	1310766
chr14	5924285	5926112
chr14	8273078	8276220
chr15	706	4052
chr15	9057013	9059448
chr15	9682025	9684383
chr15	10971018	10973540
chr16	39538618	39544177
chr16	52182014	52189503
chr16	52190293	52192885
chr16	52194057	52199493
chr17	949869	952571
chr17	22018862	22021837
chr17	22026916	22026995
chr17	22027065	22029942
chr17	26788634	26791765
chr17	26794845	26797424
chr17	26799983	26800233
chr17	26811950	26814656
chr17	44114662	44117672
chr17	44121116	44123894
chr17	44127005	44129906
chr17	44134095	44136203
chr17	44139572	44142192
chr17	44145766	44147705
chr17	44151879	44154065
chr19	26359246	26359659
chr19	28672143	28673309
chr19	28681451	28682678
chr19	28942546	28943939
chr19	29090375	29091149
chr19	29091307	29091998
chr19	29092822	29093720
chr19	29175954	29176014
chr19	29176086	29178825
chr19	29218750	29221575
chr19	29374160	29376597
chr19	29377451	29379141
chr19	29444536	29444609
chr19	29445814	29446601
chr19	29480994	29481059
chr19	29483451	29483867
chr19	29485669	29486583
chr19	29510115	29514250
chr19	29517418	29517750
chr19	29517813	29518036
chr19	29518777	29518974
chr19	29519636	29521691
chr2	0	2330
chr2	92704825	92706262
chr2	92863765	92864787
chr20	31625311	31629184
chr20	32096854	32098895
chr20	32834639	32834799
chr21	6430912	6437878
chr21	10862599	10865294
chr21	11192831	11194107
chr21	11199936	11202401
chr21	11289393	11294864
chr21	11295366	11296454
chr22	2481208	2482473
chr22	12311703	12311829
chr22	12312533	12313448
chr22	12314651	12314653
chr22	12315215	12315323
chr22	12315357	12315790
chr22	12315896	12317386
chr22	12318000	12320188
chr22	51321497	51324608
chr3	99320008	99323219
chr4	51211952	51214048
chr4	54718122	54720606
chr4	54921402	54922676
chr4	54943535	54946180
chr4	55016365	55018758
chr4	192588340	192590982
chr5	0	3004
chr5	47077329	47078777
chr5	47084267	47084959
chr5	47090868	47091881
chr5	47132131	47132856
chr5	47199218	47201679
chr5	48363069	48365275
chr5	48368235	48370779
chr5	48526620	48529468
chr5	48600351	48603233
chr5	48878334	48881134
chr5	49186507	49189086
chr5	49193220	49195879
chr5	49307906	49310626
chr5	49314349	49317359
chr5	49322298	49325419
chr5	49325972	49326403
chr5	49328081	49328471
chr5	49334384	49337347
chr5	49340881	49343883
chr5	49348860	49351571
chr5	49353926	49355029
chr5	49395375	49398335
chr5	49403929	49404428
chr5	49404747	49408166
chr5	49413644	49416525
chr5	49422424	49424941
chr5	49432764	49435759
chr5	49443031	49445536
chr5	49447701	49450483
chr5	49456204	49458784
chr5	49480122	49481258
chr5	49487147	49489996
chr5	49492776	49493833
chr5	49494978	49495692
chr5	49497153	49497750
chr5	49569525	49578128
chr5	49589401	49592405
chr5	49617982	49623550
chr5	49880704	49883934
chr5	49884047	49884947
chr5	49897185	49903745
chr5	81134756	81138248
chr5	135451129	135455461
chr6	1095	3888
chr6	58288355	58290621
chr6	58293164	58299267
chr6	58315160	58317391
chr6	58320971	58322394
chr6	58345442	58345790
chr6	58348528	58350916
chr6	58359810	58363518
chr6	58375729	58380298
chr6	58424377	58426817
chr6	58478230	58480950
chr6	58514043	58516369
chr6	58813022	58815598
chr6	59014278	59016873
chr6	59034691	59037264
chr6	59037678	59040307
chr6	59490423	59493183
chr6	59533011	59535689
chr6	60720266	60723143
chr6	172122919	172126461
chr9	122901	125088
chrM	1	16569
